270101	N-	----NSF-	Ἀποκάλυψις	ἀποκάλυψις		a)poka/luyij
270102	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
270102	N-	----GSM-	Χριστοῦ	Χριστός	,	Xristo/j
270102	RR	----APN-	ὅσα	ὅσος		o(/soj
270102	V-	3AAI-S--	εἶδεν	ὁράω	.	o(ra/w
270103	A-	----NSM-	μακάριος	μακάριος		maka/rioj
270103	RA	----NSM-	ὁ	ὁ		o(
270103	V-	-PAPNSM-	ἀναγινώσκων	ἀναγινώσκω		a)naginw/skw
270103	C-	--------	καὶ	καί		kai/
270103	RA	----NPM-	οἱ	ὁ		o(
270103	V-	-PAPNPM-	ἀκούοντες	ἀκούω		a)kou/w
270103	RA	----APM-	τοὺς	ὁ		o(
270103	N-	----APM-	λόγους	λόγος		lo/goj
270103	RA	----GSF-	τῆς	ὁ		o(
270103	N-	----GSF-	προφητείας	προφητεία		profhtei/a
270103	C-	--------	καὶ	καί		kai/
270103	V-	-PAPNPM-	τηροῦντες	τηρέω		thre/w
270103	RA	----APN-	τὰ	ὁ		o(
270103	P-	--------	ἐν	ἐν		e)n
270103	RP	----DSF-	αὐτῇ	αὐτός		au)to/j
270103	V-	-XPPAPN-	γεγραμμένα	γράφω	,	gra/fw
270103	RA	----NSM-	ὁ	ὁ		o(
270103	C-	--------	γὰρ	γάρ		ga/r
270103	N-	----NSM-	καιρὸς	καιρός		kairo/j
270103	D-	--------	ἐγγύς	ἐγγύς	.	e)ggu/j
270104	N-	----NSM-	Ἰωάννης	Ἰωάννης		I)wa/nnhj
270104	RA	----DPF-	ταῖς	ὁ		o(
270104	A-	----DPF-	ἑπτὰ	ἑπτά		e(pta/
270104	N-	----DPF-	ἐκκλησίαις	ἐκκλησία		e)kklhsi/a
270104	RA	----DPF-	ταῖς	ὁ		o(
270104	P-	--------	ἐν	ἐν		e)n
270104	RA	----DSF-	τῇ	ὁ		o(
270104	N-	----DSF-	Ἀσίᾳ	Ἀσία	·	A)si/a
270104	N-	----NSF-	χάρις	χάρις		xa/rij
270104	RP	----DP--	ὑμῖν	σύ		su/
270104	C-	--------	καὶ	καί		kai/
270104	N-	----NSF-	εἰρήνη	εἰρήνη		ei)rh/nh
270104	P-	--------	ἀπὸ	ἀπό		a)po/
270104	RA	----NSM-	ὁ	ὁ		o(
270104	V-	-PAPNSM-	ὢν	εἰμί		ei)mi/
270104	C-	--------	καὶ	καί		kai/
270104	RA	----NSM-	ὁ	ὁ		o(
270104	V-	3IAI-S--	ἦν	εἰμί		ei)mi/
270104	C-	--------	καὶ	καί		kai/
270104	RA	----NSM-	ὁ	ὁ		o(
270104	V-	-PMPNSM-	ἐρχόμενος	ἔρχομαι	,	e)/rxomai
270104	C-	--------	καὶ	καί		kai/
270104	P-	--------	ἀπὸ	ἀπό		a)po/
270104	RA	----GPN-	τῶν	ὁ		o(
270104	A-	----GPN-	ἑπτὰ	ἑπτά		e(pta/
270104	N-	----GPN-	πνευμάτων	πνεῦμα		pneu=ma
270104	RR	----NPN-	ἃ	ὅς		o(/j
270104	P-	--------	ἐνώπιον	ἐνώπιον		e)nw/pion
270104	RA	----GSM-	τοῦ	ὁ		o(
270104	N-	----GSM-	θρόνου	θρόνος		qro/noj
270104	RP	----GSM-	αὐτοῦ	αὐτός	,	au)to/j
270105	C-	--------	καὶ	καί		kai/
270105	P-	--------	ἀπὸ	ἀπό		a)po/
270105	N-	----GSM-	Ἰησοῦ	Ἰησοῦς		I)hsou=j
270105	N-	----GSM-	Χριστοῦ	Χριστός	,	Xristo/j
270105	RA	----NSM-	ὁ	ὁ		o(
270105	N-	----NSM-	μάρτυς	μάρτυς		ma/rtuj
270105	RA	----NSM-	ὁ	ὁ		o(
270105	A-	----NSM-	πιστός	πιστός	,	pisto/j
270105	RA	----NSM-	ὁ	ὁ		o(
270105	A-	----NSM-	πρωτότοκος	πρωτότοκος		prwto/tokoj
270105	RA	----GPM-	τῶν	ὁ		o(
270105	A-	----GPM-	νεκρῶν	νεκρός		nekro/j
270105	C-	--------	καὶ	καί		kai/
270105	RA	----NSM-	ὁ	ὁ		o(
270105	N-	----NSM-	ἄρχων	ἄρχων		a)/rxwn
270105	RA	----GPM-	τῶν	ὁ		o(
270105	N-	----GPM-	βασιλέων	βασιλεύς		basileu/j
270105	RA	----GSF-	τῆς	ὁ		o(
270105	N-	----GSF-	γῆς	γῆ	.	gh=
270105	RA	----DSM-	Τῷ	ὁ		o(
270105	V-	-PAPDSM-	ἀγαπῶντι	ἀγαπάω		a)gapa/w
270105	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
270105	C-	--------	καὶ	καί		kai/
270105	V-	-AAPDSM-	λύσαντι	λύω		lu/w
270105	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
270105	P-	--------	ἐκ	ἐκ		e)k
270105	RA	----GPF-	τῶν	ὁ		o(
270105	N-	----GPF-	ἁμαρτιῶν	ἁμαρτία		a(marti/a
270105	RP	----GP--	ἡμῶν	ἐγώ		e)gw/
270105	P-	--------	ἐν	ἐν		e)n
270105	RA	----DSN-	τῷ	ὁ		o(
270105	N-	----DSN-	αἵματι	αἷμα		ai(=ma
270105	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270106	C-	--------	καὶ	καί		kai/
270106	V-	3AAI-S--	ἐποίησεν	ποιέω		poie/w
270106	RP	----AP--	ἡμᾶς	ἐγώ		e)gw/
270106	N-	----ASF-	βασιλείαν	βασιλεία	,	basilei/a
270106	N-	----APM-	ἱερεῖς	ἱερεύς		i(ereu/j
270106	RA	----DSM-	τῷ	ὁ		o(
270106	N-	----DSM-	θεῷ	θεός		qeo/j
270106	C-	--------	καὶ	καί		kai/
270106	N-	----DSM-	πατρὶ	πατήρ		path/r
270106	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270106	RP	----DSM-	αὐτῷ	αὐτός		au)to/j
270106	RA	----NSF-	ἡ	ὁ		o(
270106	N-	----NSF-	δόξα	δόξα		do/ca
270106	C-	--------	καὶ	καί		kai/
270106	RA	----NSN-	τὸ	ὁ		o(
270106	N-	----NSN-	κράτος	κράτος		kra/toj
270106	P-	--------	εἰς	εἰς		ei)j
270106	RA	----APM-	τοὺς	ὁ		o(
270106	N-	----APM-	αἰῶνας	αἰών		ai)w/n
270106	RA	----GPM-	τῶν	ὁ		o(
270106	N-	----GPM-	αἰώνων	αἰών	·	ai)w/n
270106	X-	--------	ἀμήν	ἀμήν	.	a)mh/n
270107	X-	--------	Ἰδοὺ	ἰδού		i)dou/
270107	V-	3PMI-S--	ἔρχεται	ἔρχομαι		e)/rxomai
270107	P-	--------	μετὰ	μετά		meta/
270107	RA	----GPF-	τῶν	ὁ		o(
270107	N-	----GPF-	νεφελῶν	νεφέλη	,	nefe/lh
270107	C-	--------	καὶ	καί		kai/
270107	V-	3FMI-S--	ὄψεται	ὁράω		o(ra/w
270107	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270107	A-	----NSM-	πᾶς	πᾶς		pa=j
270107	N-	----NSM-	ὀφθαλμὸς	ὀφθαλμός		o)fqalmo/j
270107	C-	--------	καὶ	καί		kai/
270107	RR	----NPM-	οἵτινες	ὅστις		o(/stij
270107	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270107	V-	3AAI-P--	ἐξεκέντησαν	ἐκκεντέω	,	e)kkente/w
270107	C-	--------	καὶ	καί		kai/
270107	V-	3FMI-P--	κόψονται	κόπτω		ko/ptw
270107	P-	--------	ἐπ	ἐπί		e)pi/
270107	RP	----ASM-	αὐτὸν	αὐτός		au)to/j
270107	A-	----NPF-	πᾶσαι	πᾶς		pa=j
270107	RA	----NPF-	αἱ	ὁ		o(
270107	N-	----NPF-	φυλαὶ	φυλή		fulh/
270107	RA	----GSF-	τῆς	ὁ		o(
270107	N-	----GSF-	γῆς	γῆ	.	gh=
270107	X-	--------	ναί	ναί	,	nai/
270107	X-	--------	ἀμήν	ἀμήν	.	a)mh/n
270108	RP	----NS--	Ἐγώ	ἐγώ		e)gw/
270108	V-	1PAI-S--	εἰμι	εἰμί		ei)mi/
270108	RA	----NSN-	τὸ	ὁ		o(
270108	N-	----NSN-	Ἄλφα	Ἄλφα		A)/lfa
270108	C-	--------	καὶ	καί		kai/
270108	RA	----NSN-	τὸ	ὁ		o(
270108	N-	----NSN-	Ὦ	Ὦ	,	W)=
270108	V-	3PAI-S--	λέγει	λέγω		le/gw
270108	N-	----NSM-	κύριος	κύριος	,	ku/rioj
270108	RA	----NSM-	ὁ	ὁ		o(
270108	N-	----NSM-	θεός	θεός	,	qeo/j
270108	RA	----NSM-	ὁ	ὁ		o(
270108	V-	-PAPNSM-	ὢν	εἰμί		ei)mi/
270108	C-	--------	καὶ	καί		kai/
270108	RA	----NSM-	ὁ	ὁ		o(
270108	V-	3IAI-S--	ἦν	εἰμί		ei)mi/
270108	C-	--------	καὶ	καί		kai/
270108	RA	----NSM-	ὁ	ὁ		o(
270108	V-	-PMPNSM-	ἐρχόμενος	ἔρχομαι	,	e)/rxomai
270108	RA	----NSM-	ὁ	ὁ		o(
270108	N-	----NSM-	παντοκράτωρ	παντοκράτωρ	.	pantokra/twr
270109	RP	----NS--	Ἐγὼ	ἐγώ		e)gw/
270109	N-	----NSM-	Ἰωάννης	Ἰωάννης	,	I)wa/nnhj
270109	RA	----NSM-	ὁ	ὁ		o(
270109	N-	----NSM-	ἀδελφὸς	ἀδελφός		a)delfo/j
270109	RP	----GP--	ὑμῶν	σύ		su/
270109	C-	--------	καὶ	καί		kai/
270109	N-	----NSM-	συγκοινωνὸς	συγκοινωνός		sugkoinwno/j
270109	P-	--------	ἐν	ἐν		e)n
270109	RA	----DSF-	τῇ	ὁ		o(
270109	N-	----DSF-	θλίψει	θλῖψις		qli=yij
270109	C-	--------	καὶ	καί		kai/
270109	N-	----DSF-	βασιλείᾳ	βασιλεία		basilei/a
270109	C-	--------	καὶ	καί		kai/
270109	N-	----DSF-	ὑπομονῇ	ὑπομονή		u(pomonh/
270109	P-	--------	ἐν	ἐν		e)n
270109	N-	----DSM-	Ἰησοῦ	Ἰησοῦς	,	I)hsou=j
270109	V-	1AMI-S--	ἐγενόμην	γίνομαι		gi/nomai
270109	P-	--------	ἐν	ἐν		e)n
270109	RA	----DSF-	τῇ	ὁ		o(
270109	N-	----DSF-	νήσῳ	νῆσος		nh=soj
270109	RA	----DSF-	τῇ	ὁ		o(
270109	V-	-PPPDSF-	καλουμένῃ	καλέω		kale/w
270109	N-	----DSF-	Πάτμῳ	Πάτμος		Pa/tmoj
270109	P-	--------	διὰ	διά		dia/
270109	RA	----ASM-	τὸν	ὁ		o(
270109	N-	----ASM-	λόγον	λόγος		lo/goj
270109	RA	----GSM-	τοῦ	ὁ		o(
270109	N-	----GSM-	θεοῦ	θεός		qeo/j
270109	C-	--------	καὶ	καί		kai/
270109	RA	----ASF-	τὴν	ὁ		o(
270109	N-	----ASF-	μαρτυρίαν	μαρτυρία		marturi/a
270109	N-	----GSM-	Ἰησοῦ	Ἰησοῦς	.	I)hsou=j
270110	V-	1AMI-S--	ἐγενόμην	γίνομαι		gi/nomai
270110	P-	--------	ἐν	ἐν		e)n
270110	N-	----DSN-	πνεύματι	πνεῦμα		pneu=ma
270110	P-	--------	ἐν	ἐν		e)n
270110	RA	----DSF-	τῇ	ὁ		o(
270110	A-	----DSF-	κυριακῇ	κυριακός		kuriako/j
270110	N-	----DSF-	ἡμέρᾳ	ἡμέρα	,	h(me/ra
270110	C-	--------	καὶ	καί		kai/
270110	V-	1AAI-S--	ἤκουσα	ἀκούω		a)kou/w
270110	P-	--------	ὀπίσω	ὀπίσω		o)pi/sw
270110	RP	----GS--	μου	ἐγώ		e)gw/
270110	N-	----ASF-	φωνὴν	φωνή		fwnh/
270110	A-	----ASF-	μεγάλην	μέγας		me/gaj
270110	C-	--------	ὡς	ὡς		w(j
270110	N-	----GSF-	σάλπιγγος	σάλπιγξ		sa/lpigc
270111	V-	-PAPGSF-	λεγούσης	λέγω	·	le/gw
270111	RR	----ASN-	Ὃ	ὅς		o(/j
270111	V-	2PAI-S--	βλέπεις	βλέπω		ble/pw
270111	V-	2AAD-S--	γράψον	γράφω		gra/fw
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASN-	βιβλίον	βιβλίον		bibli/on
270111	C-	--------	καὶ	καί		kai/
270111	V-	2AAD-S--	πέμψον	πέμπω		pe/mpw
270111	RA	----DPF-	ταῖς	ὁ		o(
270111	A-	----DPF-	ἑπτὰ	ἑπτά		e(pta/
270111	N-	----DPF-	ἐκκλησίαις	ἐκκλησία	,	e)kklhsi/a
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASF-	Ἔφεσον	Ἔφεσος		E)/fesoj
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASF-	Σμύρναν	Σμύρνα		Smu/rna
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASF-	Πέργαμον	Πέργαμος		Pe/rgamoj
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----APN-	Θυάτειρα	Θυάτειρα		Qua/teira
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----APF-	Σάρδεις	Σάρδεις		Sa/rdeij
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASF-	Φιλαδέλφειαν	Φιλαδέλφεια		Filade/lfeia
270111	C-	--------	καὶ	καί		kai/
270111	P-	--------	εἰς	εἰς		ei)j
270111	N-	----ASF-	Λαοδίκειαν	Λαοδίκεια	.	Laodi/keia
270112	C-	--------	Καὶ	καί		kai/
270112	V-	1AAI-S--	ἐπέστρεψα	ἐπιστρέφω		e)pistre/fw
270112	V-	-PAN----	βλέπειν	βλέπω		ble/pw
270112	RA	----ASF-	τὴν	ὁ		o(
270112	N-	----ASF-	φωνὴν	φωνή		fwnh/
270112	RR	----NSF-	ἥτις	ὅστις		o(/stij
270112	V-	3IAI-S--	ἐλάλει	λαλέω		lale/w
270112	P-	--------	μετ	μετά		meta/
270112	RP	----GS--	ἐμοῦ	ἐγώ	·	e)gw/
270112	C-	--------	καὶ	καί		kai/
270112	V-	-AAPNSM-	ἐπιστρέψας	ἐπιστρέφω		e)pistre/fw
270112	V-	1AAI-S--	εἶδον	ὁράω		o(ra/w
270112	A-	----APF-	ἑπτὰ	ἑπτά		e(pta/
270112	N-	----APF-	λυχνίας	λυχνία		luxni/a
270112	A-	----APF-	χρυσᾶς	χρυσοῦς	,	xrusou=j
270113	C-	--------	καὶ	καί		kai/
270113	P-	--------	ἐν	ἐν		e)n
270113	A-	----DSN-	μέσῳ	μέσος		me/soj
270113	RA	----GPF-	τῶν	ὁ		o(
270113	N-	----GPF-	λυχνιῶν	λυχνία		luxni/a
270113	A-	----ASM-	ὅμοιον	ὅμοιος		o(/moioj
270113	N-	----ASM-	υἱὸν	υἱός		ui(o/j
270113	N-	----GSM-	ἀνθρώπου	ἄνθρωπος	,	a)/nqrwpoj
270113	V-	-XMPASM-	ἐνδεδυμένον	ἐνδύω		e)ndu/w
270113	A-	----ASM-	ποδήρη	ποδήρης		podh/rhj
270113	C-	--------	καὶ	καί		kai/
270113	V-	-XMPASM-	περιεζωσμένον	περιζώννυμι		perizw/nnumi
270113	P-	--------	πρὸς	πρός		pro/j
270113	RA	----DPM-	τοῖς	ὁ		o(
270113	N-	----DPM-	μαστοῖς	μαστός		masto/j
270113	N-	----ASF-	ζώνην	ζώνη		zw/nh
270113	A-	----ASF-	χρυσᾶν	χρυσοῦς	·	xrusou=j
270114	RA	----NSF-	ἡ	ὁ		o(
270114	C-	--------	δὲ	δέ		de/
270114	N-	----NSF-	κεφαλὴ	κεφαλή		kefalh/
270114	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270114	C-	--------	καὶ	καί		kai/
270114	RA	----NPF-	αἱ	ὁ		o(
270114	N-	----NPF-	τρίχες	θρίξ		qri/c
270114	A-	----NPF-	λευκαὶ	λευκός		leuko/j
270114	C-	--------	ὡς	ὡς		w(j
270114	N-	----NSN-	ἔριον	ἔριον		e)/rion
270114	A-	----NSN-	λευκόν	λευκός	,	leuko/j
270114	C-	--------	ὡς	ὡς		w(j
270114	N-	----NSF-	χιών	χιών	,	xiw/n
270114	C-	--------	καὶ	καί		kai/
270114	RA	----NPM-	οἱ	ὁ		o(
270114	N-	----NPM-	ὀφθαλμοὶ	ὀφθαλμός		o)fqalmo/j
270114	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270114	C-	--------	ὡς	ὡς		w(j
270114	N-	----NSF-	φλὸξ	φλόξ		flo/c
270114	N-	----GSN-	πυρός	πῦρ	,	pu=r
270115	C-	--------	καὶ	καί		kai/
270115	RA	----NPM-	οἱ	ὁ		o(
270115	N-	----NPM-	πόδες	πούς		pou/j
270115	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270115	A-	----NPM-	ὅμοιοι	ὅμοιος		o(/moioj
270115	N-	----DSN-	χαλκολιβάνῳ	χαλκολίβανον	,	xalkoli/banon
270115	C-	--------	ὡς	ὡς		w(j
270115	P-	--------	ἐν	ἐν		e)n
270115	N-	----DSF-	καμίνῳ	κάμινος		ka/minoj
270115	V-	-XPPGSF-	πεπυρωμένης	πυρόομαι	,	puro/omai
270115	C-	--------	καὶ	καί		kai/
270115	RA	----NSF-	ἡ	ὁ		o(
270115	N-	----NSF-	φωνὴ	φωνή		fwnh/
270115	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270115	C-	--------	ὡς	ὡς		w(j
270115	N-	----NSF-	φωνὴ	φωνή		fwnh/
270115	N-	----GPN-	ὑδάτων	ὕδωρ		u(/dwr
270115	A-	----GPN-	πολλῶν	πολύς	,	polu/j
270116	C-	--------	καὶ	καί		kai/
270116	V-	-PAPNSM-	ἔχων	ἔχω		e)/xw
270116	P-	--------	ἐν	ἐν		e)n
270116	RA	----DSF-	τῇ	ὁ		o(
270116	A-	----DSF-	δεξιᾷ	δεξιός		decio/j
270116	N-	----DSF-	χειρὶ	χείρ		xei/r
270116	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270116	N-	----APM-	ἀστέρας	ἀστήρ		a)sth/r
270116	A-	----APM-	ἑπτά	ἑπτά	,	e(pta/
270116	C-	--------	καὶ	καί		kai/
270116	P-	--------	ἐκ	ἐκ		e)k
270116	RA	----GSN-	τοῦ	ὁ		o(
270116	N-	----GSN-	στόματος	στόμα		sto/ma
270116	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270116	N-	----NSF-	ῥομφαία	ῥομφαία		r(omfai/a
270116	A-	----NSF-	δίστομος	δίστομος		di/stomoj
270116	A-	----NSF-	ὀξεῖα	ὀξύς		o)cu/j
270116	V-	-PMPNSF-	ἐκπορευομένη	ἐκπορεύομαι	,	e)kporeu/omai
270116	C-	--------	καὶ	καί		kai/
270116	RA	----NSF-	ἡ	ὁ		o(
270116	N-	----NSF-	ὄψις	ὄψις		o)/yij
270116	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270116	C-	--------	ὡς	ὡς		w(j
270116	RA	----NSM-	ὁ	ὁ		o(
270116	N-	----NSM-	ἥλιος	ἥλιος		h(/lioj
270116	V-	3PAI-S--	φαίνει	φαίνω		fai/nw
270116	P-	--------	ἐν	ἐν		e)n
270116	RA	----DSF-	τῇ	ὁ		o(
270116	N-	----DSF-	δυνάμει	δύναμις		du/namij
270116	RP	----GSM-	αὐτοῦ	αὐτός	.	au)to/j
270117	C-	--------	Καὶ	καί		kai/
270117	C-	--------	ὅτε	ὅτε		o(/te
270117	V-	1AAI-S--	εἶδον	ὁράω		o(ra/w
270117	RP	----ASM-	αὐτόν	αὐτός	,	au)to/j
270117	V-	1AAI-S--	ἔπεσα	πίπτω		pi/ptw
270117	P-	--------	πρὸς	πρός		pro/j
270117	RA	----APM-	τοὺς	ὁ		o(
270117	N-	----APM-	πόδας	πούς		pou/j
270117	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270117	C-	--------	ὡς	ὡς		w(j
270117	A-	----NSM-	νεκρός	νεκρός	·	nekro/j
270117	C-	--------	καὶ	καί		kai/
270117	V-	3AAI-S--	ἔθηκεν	τίθημι		ti/qhmi
270117	RA	----ASF-	τὴν	ὁ		o(
270117	A-	----ASF-	δεξιὰν	δεξιός		decio/j
270117	RP	----GSM-	αὐτοῦ	αὐτός		au)to/j
270117	P-	--------	ἐπ	ἐπί		e)pi/
270117	RP	----AS--	ἐμὲ	ἐγώ		e)gw/
270117	V-	-PAPNSM-	λέγων	λέγω	·	le/gw
270117	D-	--------	Μὴ	μή		mh/
270117	V-	2PMD-S--	φοβοῦ	φοβέομαι	·	fobe/omai
270117	RP	----NS--	ἐγώ	ἐγώ		e)gw/
270117	V-	1PAI-S--	εἰμι	εἰμί		ei)mi/
270117	RA	----NSM-	ὁ	ὁ		o(
270117	A-	----NSM-	πρῶτος	πρῶτος		prw=toj
270117	C-	--------	καὶ	καί		kai/
270117	RA	----NSM-	ὁ	ὁ		o(
270117	A-	----NSM-	ἔσχατος	ἔσχατος	,	e)/sxatoj
270118	C-	--------	καὶ	καί		kai/
270118	RA	----NSM-	ὁ	ὁ		o(
270118	V-	-PAPNSM-	ζῶν	ζάω		za/w
270118	C-	--------	καὶ	καί		kai/
270118	V-	1AMI-S--	ἐγενόμην	γίνομαι		gi/nomai
270118	A-	----NSM-	νεκρὸς	νεκρός		nekro/j
270118	C-	--------	καὶ	καί		kai/
270118	X-	--------	ἰδοὺ	ἰδού		i)dou/
270118	V-	-PAPNSM-	ζῶν	ζάω		za/w
270118	V-	1PAI-S--	εἰμι	εἰμί		ei)mi/
270118	P-	--------	εἰς	εἰς		ei)j
270118	RA	----APM-	τοὺς	ὁ		o(
270118	N-	----APM-	αἰῶνας	αἰών		ai)w/n
270118	RA	----GPM-	τῶν	ὁ		o(
270118	N-	----GPM-	αἰώνων	αἰών		ai)w/n
270118	C-	--------	καὶ	καί		kai/
270118	V-	1PAI-S--	ἔχω	ἔχω		e)/xw
270118	RA	----APF-	τὰς	ὁ		o(
270118	N-	----APF-	κλεῖς	κλείς		klei/j
270118	RA	----GSM-	τοῦ	ὁ		o(
270118	N-	----GSM-	θανάτου	θάνατος		qa/natoj
270118	C-	--------	καὶ	καί		kai/
270118	RA	----GSM-	τοῦ	ὁ		o(
270118	N-	----GSM-	ᾅδου	ᾅδης	.	a(/|dhj
270119	V-	2AAD-S--	γράψον	γράφω		gra/fw
270119	C-	--------	οὖν	οὖν		ou)=n
270119	RR	----APN-	ἃ	ὅς		o(/j
270119	V-	2AAI-S--	εἶδες	ὁράω		o(ra/w
270119	C-	--------	καὶ	καί		kai/
270119	RR	----NPN-	ἃ	ὅς		o(/j
270119	V-	3PAI-P--	εἰσὶν	εἰμί		ei)mi/
270119	C-	--------	καὶ	καί		kai/
270119	RR	----NPN-	ἃ	ὅς		o(/j
270119	V-	3PAI-S--	μέλλει	μέλλω		me/llw
270119	V-	-PMN----	γίνεσθαι	γίνομαι		gi/nomai
270119	P-	--------	μετὰ	μετά		meta/
270119	RD	----APN-	ταῦτα	οὗτος	.	ou(=toj
270120	RA	----NSN-	τὸ	ὁ		o(
270120	N-	----NSN-	μυστήριον	μυστήριον		musth/rion
270120	RA	----GPM-	τῶν	ὁ		o(
270120	A-	----GPM-	ἑπτὰ	ἑπτά		e(pta/
270120	N-	----GPM-	ἀστέρων	ἀστήρ		a)sth/r
270120	RR	----APM-	οὓς	ὅς		o(/j
270120	V-	2AAI-S--	εἶδες	ὁράω		o(ra/w
270120	P-	--------	ἐπὶ	ἐπί		e)pi/
270120	RA	----GSF-	τῆς	ὁ		o(
270120	A-	----GSF-	δεξιᾶς	δεξιός		decio/j
270120	RP	----GS--	μου	ἐγώ	,	e)gw/
270120	C-	--------	καὶ	καί		kai/
270120	RA	----APF-	τὰς	ὁ		o(
270120	A-	----APF-	ἑπτὰ	ἑπτά		e(pta/
270120	N-	----APF-	λυχνίας	λυχνία		luxni/a
270120	RA	----APF-	τὰς	ὁ		o(
270120	A-	----APF-	χρυσᾶς	χρυσοῦς	·	xrusou=j
270120	RA	----NPM-	οἱ	ὁ		o(
270120	A-	----NPM-	ἑπτὰ	ἑπτά		e(pta/
270120	N-	----NPM-	ἀστέρες	ἀστήρ		a)sth/r
270120	N-	----NPM-	ἄγγελοι	ἄγγελος		a)/ggeloj
270120	RA	----GPF-	τῶν	ὁ		o(
270120	A-	----GPF-	ἑπτὰ	ἑπτά		e(pta/
270120	N-	----GPF-	ἐκκλησιῶν	ἐκκλησία		e)kklhsi/a
270120	V-	3PAI-P--	εἰσίν	εἰμί	,	ei)mi/
270120	C-	--------	καὶ	καί		kai/
270120	RA	----NPF-	αἱ	ὁ		o(
270120	N-	----NPF-	λυχνίαι	λυχνία		luxni/a
270120	RA	----NPF-	αἱ	ὁ		o(
270120	A-	----NPF-	ἑπτὰ	ἑπτά		e(pta/
270120	A-	----NPF-	ἑπτὰ	ἑπτά		e(pta/
270120	N-	----NPF-	ἐκκλησίαι	ἐκκλησία		e)kklhsi/a
270120	V-	3PAI-P--	εἰσίν	εἰμί	.	ei)mi/
270201	RA	----DSM-	Τῷ	ὁ		o(
270201	N-	----DSM-	ἀγγέλῳ	ἄγγελος		a)/ggeloj
