1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	o(/rasij			,	O(/RASIS	O(/RASIS
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	VAI	AAI2P	895617	παρωργίσατε	παρωργισατε	παρωργισατε	παροργίζω	parorgi/zw				PARWRGI/SATE	O)RGI/ZW         PARA
1	4	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	4	A1A	ASM	9475	ἅγιον	ἁγιον	αγιον	ἅγιος	a(/gioj				A(/GION	A(/GIOS
1	4	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	4	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l			.	*ISRAHL	*I)SRAH/L
1	5	RI	ASN	12	τί	τι	τι	τίς	ti/j				TI/	TI/S
1	5	D		9	ἔτι	ἐτι	ετι	ἔτι	e)/ti				E)/TI	E)/TI
1	5	VD	APS2P	903937	πληγῆτε	πληγητε	πληγητε	πλήσσω	plh/ssw				PLHGH=TE	PLH/SSW
1	5	V7	PAPNPM	5055937	προστιθέντες	προστιθεντες	προστιθεντες	προστίθημι	prosti/qhmi				PROSTIQE/NTES	TI/QHMI          PROS
1	5	N1A	ASF	13570	ἀνομίαν	ἀνομιαν	ανομιαν	ἀνομία	a)nomi/a			;	A)NOMI/AN	A)NOMI/A
1	5	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa=j				PA=SA	PA=S
1	5	N1	NSF	13442	κεφαλὴ	κεφαλη	κεφαλη	κεφαλή	kefalh/				KEFALH\	KEFALH/
1	5	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	5	N2	ASM	9474	πόνον	πονον	πονον	πόνος	po/noj				PO/NON	PO/NOS
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa=j				PA=SA	PA=S
1	5	N1A	NSF	13442	καρδία	καρδια	καρδια	καρδία	kardi/a				KARDI/A	KARDI/A
1	5	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	5	N1	ASF	13570	λύπην	λυπην	λυπην	λύπη	lu/ph			.	LU/PHN	LU/PH
1	6	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po/				A)PO\	A)PO/
1	6	N3D	GPM	10050	ποδῶν	ποδων	ποδων	πούς	pou/j				PODW=N	POU/S
1	6	C		4	ἕως	ἑως	εως	ἕως	e(/wj				E(/WS	E(/WS
1	6	N1	GSF	13634	κεφαλῆς	κεφαλης	κεφαλης	κεφαλή	kefalh/				KEFALH=S	KEFALH/
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou)/te				OU)/TE	OU)/TE
1	6	N3M	NSN	17538	τραῦμα	τραυμα	τραυμα	τραῦμα	trau=ma				TRAU=MA	TRAU=MA
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou)/te				OU)/TE	OU)/TE
1	6	N3P	NSM	9346	μώλωψ	μωλωψ	μωλωψ	μώλωψ	mw/lwy				MW/LWY	MW/LWY
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou)/te				OU)/TE	OU)/TE
1	6	N1	NSF	13442	πληγὴ	πληγη	πληγη	πληγή	plhgh/				PLHGH\	PLHGH/
1	6	V1	PAPNSF	6890945	φλεγμαίνουσα	φλεγμαινουσα	φλεγμαινουσα	φλεγμαίνω	flegmai/nw			,	FLEGMAI/NOUSA	FLEGMAI/NW
1	6	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	6	V9	PAI3S	631937	ἔστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)/STIN	EI)MI/
1	6	N3M	ASN	17666	μάλαγμα	μαλαγμα	μαλαγμα	μάλαγμα	ma/lagma				MA/LAGMA	MA/LAGMA
1	6	VE	AAN	306049	ἐπιθεῖναι	ἐπιθειναι	επιθειναι	ἐπιτίθημι	e)piti/qhmi				E)PIQEI=NAI	TI/QHMI          E)PI
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou)/te				OU)/TE	OU)/TE
1	6	N2N	ASN	17666	ἔλαιον	ἐλαιον	ελαιον	ἔλαιον	e)/laion				E)/LAION	E)/LAION
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou)/te				OU)/TE	OU)/TE
1	6	N3E	APN	18178	καταδέσμους	καταδεσμους	καταδεσμους	καταδέσμους	katade/smouj			.	KATADE/SMOUS	KATADE/SMOUS
1	7	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	7	N1	NSF	13442	γῆ	γη	γη	γῆ	gh=				GH=	GH=
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	7	N2	NSF	13442	ἔρημος	ἐρημος	ερημος	ἔρημος	e)/rhmoj			,	E)/RHMOS	E)/RHMOS
1	7	RA	NPF	10	αἱ	αἱ	αι	ὁ	o(				AI(	O(
1	7	N3I	NPF	13954	πόλεις	πολεις	πολεις	πόλις	po/lij				PO/LEIS	PO/LIS
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	7	N2	NPM	9858	πυρίκαυστοι	πυρικαυστοι	πυρικαυστοι	πυρίκαυστος	puri/kaustoj			·	PURI/KAUSTOI	PURI/KAUSTOS
1	7	RA	ASF	10	τὴν	την	την	ὁ	o(				TH\N	O(
1	7	N1A	ASF	13570	χώραν	χωραν	χωραν	χώρα	xw/ra				XW/RAN	XW/RA
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	7	P		8	ἐνώπιον	ἐνωπιον	ενωπιον	ἐνώπιος	e)nw/pioj				E)NW/PION	E)NW/PION
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	7	A1A	NPM	9859	ἀλλότριοι	ἀλλοτριοι	αλλοτριοι	ἀλλότριος	a)llo/trioj				A)LLO/TRIOI	A)LLO/TRIOS
1	7	V1	PAI3P	894081	κατεσθίουσιν	κατεσθιουσιν	κατεσθιουσιν	κατεσθίω	katesqi/w				KATESQI/OUSIN	E)SQI/W          KATA
1	7	RD	ASF	11	αὐτήν	αὐτην	αυτην	αὐτός	au)to/j			,	AU)TH/N	AU)TO/S
1	7	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	7	VAI	AMI3S	637569	ἠρήμωται	ἠρημωται	ηρημωται	ἐρημόω	e)rhmo/w				H)RH/MWTAI	E)RHMO/W
1	7	VM	XMPNSF	6897089	κατεστραμμένη	κατεστραμμενη	κατεστραμμενη	καταστρέφω	katastre/fw				KATESTRAMME/NH	STRE/FW          KATA
1	7	P		8	ὑπὸ	ὑπο	υπο	ὑπό	u(po/				U(PO\	U(PO/
1	7	N2	GPM	10050	λαῶν	λαων	λαων	λαός	lao/j				LAW=N	LAO/S
1	7	A1A	GPM	10051	ἀλλοτρίων	ἀλλοτριων	αλλοτριων	ἀλλότριος	a)llo/trioj			.	A)LLOTRI/WN	A)LLO/TRIOS
1	8	VV	FPI3S	641153	ἐγκαταλειφθήσεται	ἐγκαταλειφθησεται	εγκαταλειφθησεται	ἐγκαταλείπω	e)gkatalei/pw				E)GKATALEIFQH/SETAI	LEI/PW           E)N   KATA
1	8	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	8	N3	NSF	13442	θυγάτηρ	θυγατηρ	θυγατηρ	θυγάτηρ	quga/thr				QUGA/THR	QUGA/THR
1	8	N	GSF	13634	Σιων	σιων	σιων	Σιών	Siw/n				*SIWN	*SIWN
1	8	D		9	ὡς	ὡς	ως	ὥς	w(/j				W(S	W(S
1	8	N1	NSF	13442	σκηνὴ	σκηνη	σκηνη	σκηνή	skhnh/				SKHNH\	SKHNH/
1	8	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	8	N3W	DSM	9602	ἀμπελῶνι	ἀμπελωνι	αμπελωνι	ἀμπελών	a)mpelw/n				A)MPELW=NI	A)MPELW/N
1	8	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	8	D		9	ὡς	ὡς	ως	ὥς	w(/j				W(S	W(S
1	8	N2N	NSN	17538	ὀπωροφυλάκιον	ὀπωροφυλακιον	οπωροφυλακιον	ὀπωροφυλάκιον	o)pwrofula/kion				O)PWROFULA/KION	O)PWROFULA/KION
1	8	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	8	N2	DSN	17794	σικυηράτῳ	σικυηρατω	σικυηρατω	σικυήρατον	sikuh/raton			,	SIKUHRA/TW|	SIKUH/RATON
1	8	D		9	ὡς	ὡς	ως	ὥς	w(/j				W(S	W(S
1	8	N3I	NSF	13442	πόλις	πολις	πολις	πόλις	po/lij				PO/LIS	PO/LIS
1	8	V2	PMPNSF	6895041	πολιορκουμένη	πολιορκουμενη	πολιορκουμενη	πολιορκέω	poliorke/w			·	POLIORKOUME/NH	POLIORKE/W
1	9	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	9	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	9	D		9	μὴ	μη	μη	μή	mh/				MH\	MH/
1	9	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	9	N	G	4930	σαβαωθ	σαβαωθ	σαβαωθ	σαβαώθ	sabaw/q				SABAWQ	SABAWQ
1	9	VBI	AAI3S	633473	ἐγκατέλιπεν	ἐγκατελιπεν	εγκατελιπεν	ἐγκαταλείπω	e)gkatalei/pw				E)GKATE/LIPEN	LEI/PW           E)N   KATA
1	9	RP	DP	13	ἡμῖν	ἡμιν	ημιν	ἡμῖν	h(mi=n				H(MI=N	E)GW/
1	9	N3M	ASN	17666	σπέρμα	σπερμα	σπερμα	σπέρμα	spe/rma			,	SPE/RMA	SPE/RMA
1	9	D		9	ὡς	ὡς	ως	ὥς	w(/j				W(S	W(S
1	9	N	ASF	13570	Σοδομα	σοδομα	σοδομα	Σόδομα	So/doma				*SODOMA	*SODOMA
1	9	X		5	ἂν	ἀν	αν	ἄν	a)/n				A)\N	A)/N
1	9	VCI	API1P	871041	ἐγενήθημεν	ἐγενηθημεν	εγενηθημεν	γίνομαι	gi/nomai				E)GENH/QHMEN	GI/GNOMAI
1	9	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	9	D		9	ὡς	ὡς	ως	ὥς	w(/j				W(S	W(S
1	9	N	ASF	13570	Γομορρα	γομορρα	γομορρα	Γόμορρα	Go/morra				*GOMORRA	*GOMORRA
1	9	X		5	ἂν	ἀν	αν	ἄν	a)/n				A)\N	A)/N
1	9	VCI	API1P	871041	ὡμοιώθημεν	ὡμοιωθημεν	ωμοιωθημεν	ὁμοιόω	o(moio/w			.	W(MOIW/QHMEN	O(MOIO/W
1	10	VA	AAD2P	895681	Ἀκούσατε	ἀκουσατε	ακουσατε	ἀκούω	a)kou/w				A)KOU/SATE	A)KOU/W
1	10	N2	ASM	9474	λόγον	λογον	λογον	λόγος	lo/goj				LO/GON	LO/GOS
1	10	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj			,	KURI/OU	KU/RIOS
1	10	N3	NPM	9858	ἄρχοντες	ἀρχοντες	αρχοντες	ἄρχων	a)/rxwn				A)/RXONTES	A)/RXWN
1	10	N	GSF	13634	Σοδομων	σοδομων	σοδομων	Σόδομα	So/doma			·	*SODOMWN	*SODOMA
1	10	V1	PAD2P	894145	προσέχετε	προσεχετε	προσεχετε	προσέχω	prose/xw				PROSE/XETE	E)/XW            PROS
1	10	N2	ASM	9474	νόμον	νομον	νομον	νόμος	no/moj				NO/MON	NO/MOS
1	10	N2	GSM	9538	θεοῦ	θεου	θεου	θεός	qeo/j			,	QEOU=	QEO/S
1	10	N2	NSM	9346	λαὸς	λαος	λαος	λαός	lao/j				LAO\S	LAO/S
1	10	N	GSF	13634	Γομορρας	γομορρας	γομορρας	Γόμορρα	Go/morra			.	*GOMORRAS	*GOMORRA
1	11	RI	ASN	12	τί	τι	τι	τίς	ti/j				TI/	TI/S
1	11	RP	DS	13	μοι	μοι	μοι	μοι	moi				MOI	E)GW/
1	11	N3E	NSM	9346	πλῆθος	πληθος	πληθος	πλῆθος	plh=qoj				PLH=QOS	PLH=QOS
1	11	RA	GPF	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	11	N1A	GPF	14146	θυσιῶν	θυσιων	θυσιων	θυσία	qusi/a				QUSIW=N	QUSI/A
1	11	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n			;	U(MW=N	SU/
1	11	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	11	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj			·	KU/RIOS	KU/RIOS
1	11	A3H	NSF	13443	πλήρης	πληρης	πληρης	πλήρης	plh/rhj				PLH/RHS	PLH/RHS
1	11	V9	PAI1S	599169	εἰμὶ	εἰμι	ειμι	εἰμί	ei)mi/				EI)MI\	EI)MI/
1	11	N3M	GPN	18242	ὁλοκαυτωμάτων	ὁλοκαυτωματων	ολοκαυτωματων	ὁλοκαύτωμα	o(lokau/twma				O(LOKAUTWMA/TWN	O(LOKAU/TWMA
1	11	N2	GPM	10050	κριῶν	κριων	κριων	κριός	krio/j				KRIW=N	KRIO/S
1	11	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	11	N3	ASN	17666	στέαρ	στεαρ	στεαρ	στέαρ	ste/ar				STE/AR	STE/AR
1	11	N2	GPM	10050	ἀρνῶν	ἀρνων	αρνων	ἀρήν	a)rh/n				A)RNW=N	A)RNO/S
1	11	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	11	N3M	ASN	17666	αἷμα	αἱμα	αιμα	αἷμα	ai(=ma				AI(=MA	AI(=MA
1	11	N2	GPM	10050	ταύρων	ταυρων	ταυρων	ταῦρος	tau=roj				TAU/RWN	TAU=ROS
1	11	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	11	N2	GPM	10050	τράγων	τραγων	τραγων	τράγος	tra/goj				TRA/GWN	TRA/GOS
1	11	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
1	11	V1	PMI1S	603265	βούλομαι	βουλομαι	βουλομαι	βούλομαι	bou/lomai			,	BOU/LOMAI	BOU/LOMAI
1	12	C		4	οὐδ	οὐδ	ουδ	οὐδέ	ou)de/				OU)D'	OU)DE/
1	12	C		4	ἐὰν	ἐαν	εαν	ἐάν	e)a/n				E)A\N	E)A/N
1	12	V1	PMS2P	898305	ἔρχησθε	ἐρχησθε	ερχησθε	ἔρχομαι	e)/rxomai				E)/RXHSQE	E)/RXOMAI
1	12	VV	APN	314241	ὀφθῆναί	ὀφθηναι	οφθηναι	ὁράω	o(ra/w				O)FQH=NAI/	O(RA/W
1	12	RP	DS	13	μοι	μοι	μοι	μοι	moi			.	MOI	E)GW/
1	12	RI	NSM	12	τίς	τις	τις	τίς	ti/j				TI/S	TI/S
1	12	X		5	γὰρ	γαρ	γαρ	γάρ	ga/r				GA\R	GA/R
1	12	VAI	AAI3S	633473	ἐξεζήτησεν	ἐξεζητησεν	εξεζητησεν	ἐκζητέω	e)kzhte/w				E)CEZH/THSEN	ZHTE/W           E)K
1	12	RD	APN	11	ταῦτα	ταυτα	ταυτα	οὗτος	ou(=toj				TAU=TA	OU(=TOS
1	12	P		8	ἐκ	ἐκ	εκ	ἐκ	e)k				E)K	E)K
1	12	RA	GPF	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	12	N3	GPF	14146	χειρῶν	χειρων	χειρων	χείρ	xei/r				XEIRW=N	XEI/R
1	12	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n			;	U(MW=N	SU/
1	12	V2	PAN	304513	πατεῖν	πατειν	πατειν	πατέω	pate/w				PATEI=N	PATE/W
1	12	RA	ASF	10	τὴν	την	την	ὁ	o(				TH\N	O(
1	12	N1	ASF	13570	αὐλήν	αὐλην	αυλην	αὐλή	au)lh/				AU)LH/N	AU)LH/
1	12	RP	GS	13	μου	μου	μου	μου	mou				MOU	E)GW/
1	13	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
1	13	VF	FMI2P	899201	προσθήσεσθε	προσθησεσθε	προσθησεσθε	προστίθημι	prosti/qhmi			·	PROSQH/SESQE	TI/QHMI          PROS
1	13	C		4	ἐὰν	ἐαν	εαν	ἐάν	e)a/n				E)A\N	E)A/N
1	13	V1	PAS2P	894209	φέρητε	φερητε	φερητε	φέρω	fe/rw				FE/RHTE	FE/RW
1	13	N3I	ASF	13570	σεμίδαλιν	σεμιδαλιν	σεμιδαλιν	σεμίδαλις	semi/dalij			,	SEMI/DALIN	SEMI/DALIS
1	13	A1A	ASN	17667	μάταιον	ματαιον	ματαιον	μάταιος	ma/taioj			·	MA/TAION	MA/TAIOS
1	13	N3M	ASN	17666	θυμίαμα	θυμιαμα	θυμιαμα	θυμίαμα	qumi/ama				QUMI/AMA	QUMI/AMA
1	13	N3M	NSN	17538	βδέλυγμά	βδελυγμα	βδελυγμα	βδέλυγμα	bde/lugma				BDE/LUGMA/	BDE/LUGMA
1	13	RP	DS	13	μοί	μοι	μοι	μοι	moi				MOI/	E)GW/
1	13	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί	ei)mi/			·	E)STIN	EI)MI/
1	13	RA	APF	10	τὰς	τας	τας	ὁ	o(				TA\S	O(
1	13	N1A	APF	14082	νουμηνίας	νουμηνιας	νουμηνιας	νουμηνία	noumhni/a				NOUMHNI/AS	NOUMHNI/A
1	13	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	13	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	13	RA	NPN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
1	13	N2N	NPN	18050	σάββατα	σαββατα	σαββατα	σάββατον	sa/bbaton				SA/BBATA	SA/BBATON
1	13	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	13	N1A	ASF	13570	ἡμέραν	ἡμεραν	ημεραν	ἡμέρα	h(me/ra				H(ME/RAN	H(ME/RA
1	13	A1	ASF	13571	μεγάλην	μεγαλην	μεγαλην	μέγας	me/gaj				MEGA/LHN	ME/GAS
1	13	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	13	V1	PMI1S	603265	ἀνέχομαι	ἀνεχομαι	ανεχομαι	ἀνέχω	a)ne/xw			·	A)NE/XOMAI	E)/XW            A)NA
1	13	N1A	ASF	13570	νηστείαν	νηστειαν	νηστειαν	νηστεία	nhstei/a				NHSTEI/AN	NHSTEI/A
1	13	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
