1	1	N3M	NSN	17538	Λῆμμα	λημμα	λημμα	λῆμμα	lh=mma				LH=MMA	LH=MMA
1	2	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	2	N	GSM	9538	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	I)akw/b			;	*IAKWB	*I)AKW/B
1	2	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	2	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj			·	KU/RIOS	KU/RIOS
1	2	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	2	VAI	AAI1S	600705	ἠγάπησα	ἠγαπησα	ηγαπησα	ἀγαπάω	a)gapa/w				H)GA/PHSA	A)GAPA/W
1	2	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	2	N	ASM	9474	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	I)akw/b			,	*IAKWB	*I)AKW/B
1	3	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	3	X		5	δὲ	δε	δε	δέ	de/				DE\	DE/
1	3	N	ASM	9474	Ησαυ	ησαυ	ησαυ	Ἠσαῦ	H)sau=				*HSAU	*HSAU
1	3	VAI	AAI1S	600705	ἐμίσησα	ἐμισησα	εμισησα	μισέω	mise/w				E)MI/SHSA	MISE/W
1	3	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	VAI	AAI1S	600705	ἔταξα	ἐταξα	εταξα	τάσσω	ta/ssw				E)/TACA	TA/SSW
1	3	RA	APN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
1	3	N2N	APN	18178	ὅρια	ὁρια	ορια	ὅριον	o(/rion				O(/RIA	O(/RION
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j				AU)TOU=	AU)TO/S
1	3	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	3	N2	ASM	9474	ἀφανισμὸν	ἀφανισμον	αφανισμον	ἀφανισμός	a)fanismo/j				A)FANISMO\N	A)FANISMO/S
1	3	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	3	RA	ASF	10	τὴν	την	την	ὁ	o(				TH\N	O(
1	3	N1A	ASF	13570	κληρονομίαν	κληρονομιαν	κληρονομιαν	κληρονομία	klhronomi/a				KLHRONOMI/AN	KLHRONOMI/A
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j				AU)TOU=	AU)TO/S
1	3	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	3	N3M	APN	18178	δόματα	δοματα	δοματα	δόμα	do/ma				DO/MATA	DO/MA
1	3	N2	GSF	13634	ἐρήμου	ἐρημου	ερημου	ἔρημος	e)/rhmoj			.	E)RH/MOU	E)/RHMOS
1	4	C		4	διότι	διοτι	διοτι	διότι	dio/ti				DIO/TI	DIO/TI
1	4	VF2	FAI3S	632961	ἐρεῖ	ἐρει	ερει	ἐρέω	e)re/w				E)REI=	EI)=PON
1	4	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	4	N1A	NSF	13442	Ιδουμαία	ιδουμαια	ιδουμαια	Ἰδουμαία	I)doumai/a				*IDOUMAI/A	*IDOUMAI/A
1	4	VMI	XPI3S	642177	Κατέστραπται	κατεστραπται	κατεστραπται	καταστρέφω	katastre/fw			,	KATE/STRAPTAI	STRE/FW          KATA
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	VA	AAS1P	862977	ἐπιστρέψωμεν	ἐπιστρεψωμεν	επιστρεψωμεν	ἐπιστρέφω	e)pistre/fw				E)PISTRE/YWMEN	STRE/FW          E)PI
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	VF	FAI1P	862337	ἀνοικοδομήσωμεν	ἀνοικοδομησωμεν	ανοικοδομησωμεν	ἀνοικοδομέω	a)noikodome/w				A)NOIKODOMH/SWMEN	OI)KODOME/W      A)NA
1	4	RA	APF	10	τὰς	τας	τας	ὁ	o(				TA\S	O(
1	4	N2	APF	14082	ἐρήμους	ἐρημους	ερημους	ἔρημος	e)/rhmoj			·	E)RH/MOUS	E)/RHMOS
1	4	RD	APN	11	τάδε	ταδε	ταδε	ὅδε	o(/de				TA/DE	O(/DE
1	4	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	4	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	4	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ	pantokra/twr				PANTOKRA/TWR	PANTOKRA/TWR
1	4	RD	NPM	11	Αὐτοὶ	αὐτοι	αυτοι	αὐτός	au)to/j				AU)TOI\	AU)TO/S
1	4	VF	FAI3P	895105	οἰκοδομήσουσιν	οἰκοδομησουσιν	οικοδομησουσιν	οἰκοδομέω	oi)kodome/w			,	OI)KODOMH/SOUSIN	OI)KODOME/W
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw/				E)GW\	E)GW/
1	4	VF	FAI1S	600193	καταστρέψω	καταστρεψω	καταστρεψω	καταστρέφω	katastre/fw			·	KATASTRE/YW	STRE/FW          KATA
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	VC	FPI3S	641153	ἐπικληθήσεται	ἐπικληθησεται	επικληθησεται	ἐπικαλέω	e)pikale/w				E)PIKLHQH/SETAI	KALE/W           E)PI
1	4	RD	DPM	11	αὐτοῖς	αὐτοις	αυτοις	αὐτός	au)to/j				AU)TOI=S	AU)TO/S
1	4	N2N	APN	18178	ὅρια	ὁρια	ορια	ὅριον	o(/rion				O(/RIA	O(/RIOS
1	4	N1A	GSF	13634	ἀνομίας	ἀνομιας	ανομιας	ἀνομία	a)nomi/a				A)NOMI/AS	A)NOMI/A
1	4	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	4	N2	NSM	9346	λαὸς	λαος	λαος	λαός	lao/j				LAO\S	LAO/S
1	4	P		8	ἐφ	ἐφ	εφ	ἐπί	e)pi/				E)F'	E)PI/
1	4	RR	ASM	14	ὃν	ὁν	ον	ὅς	o(/j				O(\N	O(/S
1	4	VK	XMI3S	638081	παρατέτακται	παρατετακται	παρατετακται	παρατάσσω	parata/ssw				PARATE/TAKTAI	TA/SSW           PARA
1	4	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	4	P		8	ἕως	ἑως	εως	ἕως	e(/wj				E(/WS	E(/WS
1	4	N3W	GSM	9538	αἰῶνος	αἰωνος	αιωνος	αἰών	ai)w/n			.	AI)W=NOS	AI)W/N
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	RA	NPM	10	οἱ	οἱ	οι	ὁ	o(				OI(	O(
1	5	N2	NPM	9858	ὀφθαλμοὶ	ὀφθαλμοι	οφθαλμοι	ὀφθαλμός	o)fqalmo/j				O)FQALMOI\	O)FQALMO/S
1	5	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	5	VF	FMI3P	899201	ὄψονται	ὀψονται	οψονται	ὁράω	o(ra/w			,	O)/YONTAI	O(RA/W
1	5	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	5	RP	NP	13	ὑμεῖς	ὑμεις	υμεις	ὑμεῖς	u(mei=j				U(MEI=S	SU/
1	5	VF2	FAI2P	895105	ἐρεῖτε	ἐρειτε	ερειτε	ἐρέω	e)re/w				E)REI=TE	EI)=PON
1	5	VCI	API3S	641665	Ἐμεγαλύνθη	ἐμεγαλυνθη	εμεγαλυνθη	μεγαλύνω	megalu/nw				E)MEGALU/NQH	MEGALU/NW
1	5	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	5	D		9	ὑπεράνω	ὑπερανω	υπερανω	ὑπεράνω	u(pera/nw				U(PERA/NW	U(PERA/NW
1	5	RA	GPN	10	τῶν	των	των	ὁ	o(				TW=N	O(
1	5	N2N	GPN	18242	ὁρίων	ὁριων	οριων	ὅριον	o(/rion				O(RI/WN	O(/RION
1	5	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	5	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	I)srah/l			.	*ISRAHL	*I)SRAH/L
1	6	N2	NSM	9346	Υἱὸς	υἱος	υιος	υἱός	ui(o/j				UI(O\S	UI(O/S
1	6	V1	PAI3S	631937	δοξάζει	δοξαζει	δοξαζει	δοξάζω	doca/zw				DOCA/ZEI	DOCA/ZW
1	6	N3	ASM	9474	πατέρα	πατερα	πατερα	πατήρ	path/r				PATE/RA	PATH/R
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	N2	NSM	9346	δοῦλος	δουλος	δουλος	δοῦλος	dou=loj				DOU=LOS	DOU=LOS
1	6	RA	ASM	10	τὸν	τον	τον	ὁ	o(				TO\N	O(
1	6	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος	ku/rioj				KU/RION	KU/RIOS
1	6	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			.	AU)TOU=	AU)TO/S
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	6	N3	NSM	9346	πατήρ	πατηρ	πατηρ	πατήρ	path/r				PATH/R	PATH/R
1	6	V9	PAI1S	599169	εἰμι	εἰμι	ειμι	εἰμί	ei)mi/				EI)MI	EI)MI/
1	6	RP	NS	13	ἐγώ	ἐγω	εγω	ἐγώ	e)gw/			,	E)GW/	E)GW/
1	6	D		9	ποῦ	που	που	ποῦ	pou=				POU=	POU=
1	6	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)STIN	EI)MI/
1	6	RA	NSF	10	ἡ	ἡ	η	ὁ	o(				H(	O(
1	6	N1S	NSF	13442	δόξα	δοξα	δοξα	δόξα	do/ca				DO/CA	DO/CA
1	6	RP	GS	13	μου	μου	μου	μου	mou			;	MOU	E)GW/
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	6	N2	NSM	9346	κύριός	κυριος	κυριος	κύριος	ku/rioj				KU/RIO/S	KU/RIOS
1	6	V9	PAI1S	599169	εἰμι	εἰμι	ειμι	εἰμί	ei)mi/				EI)MI	EI)MI/
1	6	RP	NS	13	ἐγώ	ἐγω	εγω	ἐγώ	e)gw/			,	E)GW/	E)GW/
1	6	D		9	ποῦ	που	που	ποῦ	pou=				POU=	POU=
1	6	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)STIN	EI)MI/
1	6	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(				O(	O(
1	6	N2	NSM	9346	φόβος	φοβος	φοβος	φόβος	fo/boj				FO/BOS	FO/BOS
1	6	RP	GS	13	μου	μου	μου	μου	mou			;	MOU	E)GW/
1	6	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	6	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	6	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ	pantokra/twr			.	PANTOKRA/TWR	PANTOKRA/TWR
1	6	RP	NP	13	ὑμεῖς	ὑμεις	υμεις	ὑμεῖς	u(mei=j				U(MEI=S	SU/
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ	o(				OI(	O(
1	6	N3V	NPM	9858	ἱερεῖς	ἱερεις	ιερεις	ἱερεύς	i(ereu/j				I(EREI=S	I(EREU/S
1	6	RA	NPM	10	οἱ	οἱ	οι	ὁ	o(				OI(	O(
1	6	V1	PAPNPM	5055937	φαυλίζοντες	φαυλιζοντες	φαυλιζοντες	φαυλίζω	fauli/zw				FAULI/ZONTES	FAULI/ZW
1	6	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
1	6	N3M	ASN	17666	ὄνομά	ὀνομα	ονομα	ὄνομα	o)/noma				O)/NOMA/	O)/NOMA
1	6	RP	GS	13	μου	μου	μου	μου	mou			·	MOU	E)GW/
1	6	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	6	VAI	AAI2P	895617	εἴπατε	εἰπατε	ειπατε	ἔπω	e)/pw				EI)/PATE	EI)=PON
1	6	P		8	Ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	6	RI	DSN	12	τίνι	τινι	τινι	τίς	ti/j				TI/NI	TI/S
1	6	VAI	AAI1P	862849	ἐφαυλίσαμεν	ἐφαυλισαμεν	εφαυλισαμεν	φαυλίζω	fauli/zw				E)FAULI/SAMEN	FAULI/ZW
1	6	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
1	6	N3M	ASN	17666	ὄνομά	ὀνομα	ονομα	ὄνομα	o)/noma				O)/NOMA/	O)/NOMA
1	6	RP	GS	13	σου	σου	σου	σοῦ	sou=			;	SOU	SU/
1	7	V1	PAPNPM	5055937	προσάγοντες	προσαγοντες	προσαγοντες	προσάγω	prosa/gw				PROSA/GONTES	A)/GW            PROS
1	7	P		8	πρὸς	προς	προς	πρός	pro/j				PRO\S	PRO/S
1	7	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
1	7	N2N	ASN	17666	θυσιαστήριόν	θυσιαστηριον	θυσιαστηριον	θυσιαστήριον	qusiasth/rion				QUSIASTH/RIO/N	QUSIASTH/RION
1	7	RP	GS	13	μου	μου	μου	μου	mou				MOU	E)GW/
1	7	N2	APM	9986	ἄρτους	ἀρτους	αρτους	ἄρτος	a)/rtoj				A)/RTOUS	A)/RTOS
1	7	VDI	APPAPM	5131201	ἠλισγημένους	ἠλισγημενους	ηλισγημενους	ἀλισγέω	a)lisge/w			.	H)LISGHME/NOUS	A)LISGE/W
1	7	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	7	VAI	AAI2P	895617	εἴπατε	εἰπατε	ειπατε	ἔπω	e)/pw				EI)/PATE	EI)=PON
1	7	P		8	Ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	7	RI	DSN	12	τίνι	τινι	τινι	τίς	ti/j				TI/NI	TI/S
1	7	VAI	API1P	871041	ἠλισγήσαμεν	ἠλισγησαμεν	ηλισγησαμεν	ἀλισγέω	a)lisge/w				H)LISGH/SAMEN	A)LISGE/W
1	7	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός	au)to/j			;	AU)TOU/S	AU)TO/S
1	7	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	7	RA	DSN	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
1	7	V1	PAN	304513	λέγειν	λεγειν	λεγειν	λέγω	le/gw				LE/GEIN	LE/GW
1	7	RP	AP	13	ὑμᾶς	ὑμας	υμας	ὑμᾶς	u(ma=j				U(MA=S	SU/
1	7	N1A	NSF	13442	Τράπεζα	τραπεζα	τραπεζα	τράπεζα	tra/peza				TRA/PEZA	TRA/PEZA
1	7	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	ku/rioj				KURI/OU	KU/RIOS
1	7	V4	PPPNSF	6899137	ἐξουδενωμένη	ἐξουδενωμενη	εξουδενωμενη	ἐξουδενόω	e)coudeno/w				E)COUDENWME/NH	E)COUDENO/W
1	7	V9	PAI3S	631937	ἐστὶν	ἐστιν	εστιν	εἰμί	ei)mi/				E)STI\N	EI)MI/
1	7	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	7	RA	APN	10	τὰ	τα	τα	ὁ	o(				TA\	O(
1	7	V7	PPPAPN	9323969	ἐπιτιθέμενα	ἐπιτιθεμενα	επιτιθεμενα	ἐπιτίθημι	e)piti/qhmi				E)PITIQE/MENA	TI/QHMI          E)PI
1	7	N3M	APN	18178	βρώματα	βρωματα	βρωματα	βρῶμα	brw=ma				BRW/MATA	BRW=MA
1	7	V4	PPPAPN	9323969	ἐξουδενωμένα	ἐξουδενωμενα	εξουδενωμενα	ἐξουδενόω	e)coudeno/w			.	E)COUDENWME/NA	E)COUDENO/W
1	8	C		4	διότι	διοτι	διοτι	διότι	dio/ti				DIO/TI	DIO/TI
1	8	C		4	ἐὰν	ἐαν	εαν	ἐάν	e)a/n				E)A\N	E)A/N
1	8	VB	AAS2P	895745	προσαγάγητε	προσαγαγητε	προσαγαγητε	προσάγω	prosa/gw				PROSAGA/GHTE	A)/GW            PROS
1	8	A1	ASM	9475	τυφλὸν	τυφλον	τυφλον	τυφλός	tuflo/j				TUFLO\N	TUFLO/S
1	8	P		8	εἰς	εἰς	εις	εἰς	ei)j				EI)S	EI)S
1	8	N1A	ASF	13570	θυσίαν	θυσιαν	θυσιαν	θυσία	qusi/a			,	QUSI/AN	QUSI/A
1	8	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
1	8	A1	ASM	9475	κακόν	κακον	κακον	κακός	kako/j			;	KAKO/N	KAKO/S
1	8	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	8	C		4	ἐὰν	ἐαν	εαν	ἐάν	e)a/n				E)A\N	E)A/N
1	8	VB	AAS2P	895745	προσαγάγητε	προσαγαγητε	προσαγαγητε	προσάγω	prosa/gw				PROSAGA/GHTE	A)/GW            PROS
1	8	A1	ASM	9475	χωλὸν	χωλον	χωλον	χωλός	xwlo/j				XWLO\N	XWLO/S
1	8	C		4	ἢ	ἠ	η	ἤ	h)/				H)\	H)/
1	8	A1B	ASM	9475	ἄρρωστον	ἀρρωστον	αρρωστον	ἄρρωστος	a)/rrwstoj			,	A)/RRWSTON	A)/RRWSTOS
1	8	D		9	οὐ	οὐ	ου	οὐ	ou)				OU)	OU)
1	8	A1	ASM	9475	κακόν	κακον	κακον	κακός	kako/j			;	KAKO/N	KAKO/S
1	8	VB	AAD2S	633537	προσάγαγε	προσαγαγε	προσαγαγε	προσάγω	prosa/gw				PROSA/GAGE	A)/GW            PROS
1	8	X		5	δὴ	δη	δη	δή	dh/				DH\	DH/
1	8	RD	ASN	11	αὐτὸ	αὐτο	αυτο	αὐτός	au)to/j				AU)TO\	AU)TO/S
1	8	RA	DSM	10	τῷ	τω	τω	ὁ	o(				TW=|	O(
1	8	V2	PMPDSM	4928961	ἡγουμένῳ	ἡγουμενω	ηγουμενω	ἡγέομαι	h(ge/omai				H(GOUME/NW|	H(GE/OMAI
1	8	RP	GS	13	σου	σου	σου	σοῦ	sou=			,	SOU	SU/
1	8	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	8	VF	FMI3S	637057	προσδέξεται	προσδεξεται	προσδεξεται	προσδέχομαι	prosde/xomai				PROSDE/CETAI	DE/XOMAI         PROS
1	8	RD	ASN	11	αὐτό	αὐτο	αυτο	αὐτός	au)to/j			,	AU)TO/	AU)TO/S
1	8	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	8	VF	FMI3S	637057	λήμψεται	λημψεται	λημψεται	λαμβάνω	lamba/nw				LH/MYETAI	LAMBA/NW
1	8	N2N	ASN	17666	πρόσωπόν	προσωπον	προσωπον	πρόσωπον	pro/swpon				PRO/SWPO/N	PRO/SWPON
1	8	RP	GS	13	σου	σου	σου	σοῦ	sou=			,	SOU	SU/
1	8	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	8	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	8	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ	pantokra/twr			.	PANTOKRA/TWR	PANTOKRA/TWR
1	9	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	9	D		9	νῦν	νυν	νυν	νῦν	nu=n				NU=N	NU=N
1	9	V1	PMD2P	898241	ἐξιλάσκεσθε	ἐξιλασκεσθε	εξιλασκεσθε	ἐξιλάσκομαι	e)cila/skomai				E)CILA/SKESQE	I(LA/SKOMAI      E)K
1	9	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
1	9	N2N	ASN	17666	πρόσωπον	προσωπον	προσωπον	πρόσωπον	pro/swpon				PRO/SWPON	PRO/SWPON
1	9	RA	GSM	10	τοῦ	του	του	ὁ	o(				TOU=	O(
1	9	N2	GSM	9538	θεοῦ	θεου	θεου	θεός	qeo/j				QEOU=	QEO/S
1	9	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	9	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	9	VC	APS2P	903937	δεήθητε	δεηθητε	δεηθητε	δέω	de/w				DEH/QHTE	DE/W
1	9	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)to/j			·	AU)TOU=	AU)TO/S
1	9	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	9	N3	DPF	14210	χερσὶν	χερσιν	χερσιν	χείρ	xei/r				XERSI\N	XEI/R
1	9	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	9	VX	XAI3S	633985	γέγονεν	γεγονεν	γεγονεν	γίνομαι	gi/nomai				GE/GONEN	GI/GNOMAI
1	9	RD	APN	11	ταῦτα	ταυτα	ταυτα	οὗτος	ou(=toj			·	TAU=TA	OU(=TOS
1	9	C		4	εἰ	εἰ	ει	εἰ	ei)				EI)	EI)
1	9	VF	FMI1S	604289	λήμψομαι	λημψομαι	λημψομαι	λαμβάνω	lamba/nw				LH/MYOMAI	LAMBA/NW
1	9	P		8	ἐξ	ἐξ	εξ	ἐκ	e)k				E)C	E)K
1	9	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n				U(MW=N	SU/
1	9	N2N	APN	18178	πρόσωπα	προσωπα	προσωπα	πρόσωπον	pro/swpon				PRO/SWPA	PRO/SWPON
1	9	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw=n			;	U(MW=N	SU/
1	9	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gw				LE/GEI	LE/GW
1	9	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj				KU/RIOS	KU/RIOS
1	9	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ	pantokra/twr			.	PANTOKRA/TWR	PANTOKRA/TWR
1	10	C		4	διότι	διοτι	διοτι	διότι	dio/ti				DIO/TI	DIO/TI
1	10	D		9	καὶ	και	και	καί	kai/				KAI\	KAI/
1	10	P		8	ἐν	ἐν	εν	ἐν	e)n				E)N	E)N
1	10	RP	DP	13	ὑμῖν	ὑμιν	υμιν	ὑμῖν	u(mi=n				U(MI=N	SU/
1	10	VC	FPI3P	903297	συγκλεισθήσονται	συγκλεισθησονται	συγκλεισθησονται	συγκλείω	sugklei/w				SUGKLEISQH/SONTAI	KLEI/W           SUN
1	10	N1A	NPF	13954	θύραι	θυραι	θυραι	θύρα	qu/ra			,	QU/RAI	QU/RA
1	10	C		4	καὶ	και	και	καί	kai/				KAI\	KAI/
1	10	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	10	VF	FAI2P	895105	ἀνάψετε	ἀναψετε	αναψετε	ἀνάπτω	a)na/ptw				A)NA/YETE	A(/PTW           A)NA
1	10	RA	ASN	10	τὸ	το	το	ὁ	o(				TO\	O(
1	10	N2N	ASN	17666	θυσιαστήριόν	θυσιαστηριον	θυσιαστηριον	θυσιαστήριον	qusiasth/rion				QUSIASTH/RIO/N	QUSIASTH/RION
1	10	RP	GS	13	μου	μου	μου	μου	mou				MOU	E)GW/
1	10	N1A	ASF	13570	δωρεάν	δωρεαν	δωρεαν	δωρεάν	dwrea/n			·	DWREA/N	DWREA/
1	10	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)				OU)K	OU)
1	10	V9	PAI3S	631937	ἔστιν	ἐστιν	εστιν	εἰμί	ei)mi/				E)/STIN	EI)MI/
